line,champion1,champion2,winning_rage,match_count
Middle,Akali,Zac,46.32,136
Middle,Akali,Aurelion Sol,40.91,132
Middle,Akali,Wukong,38.89,108
Middle,Akali,Sion,49.48,97
Middle,Akali,Camille,55.07,69
Top,Akali,Sylas,47.47,"3,042"
Top,Akali,Sett,48.01,"2,433"
Top,Akali,Aatrox,47.36,"2,200"
Top,Akali,Irelia,52.56,"1,581"
Top,Akali,Renekton,46.67,"1,560"
Top,Akali,Shen,42.15,"1,331"
Top,Akali,Darius,49.59,986
Top,Akali,Jayce,49.49,986
Top,Akali,Malphite,50,930
Top,Akali,Gwen,51.7,913
Top,Akali,Lee Sin,44.84,910
Top,Akali,Garen,52.18,847
Top,Akali,Mordekaiser,49.27,822
Top,Akali,Jax,48.71,817
Top,Akali,Fiora,48.1,788
Top,Akali,Ornn,48.65,775
Top,Akali,Gnar,49.81,771
Top,Akali,Riven,49.79,703
Top,Akali,Vladimir,47.28,662
Top,Akali,Rumble,49.3,641
Top,Akali,Volibear,47.85,627
Top,Akali,Teemo,50.79,567
Top,Akali,Kayle,44.42,556
Top,Akali,Gangplank,49.9,489
Top,Akali,Kennen,47.38,477
Top,Akali,Camille,47.02,470
Top,Akali,Nasus,45.43,460
Top,Akali,Vayne,51.42,457
Top,Akali,Sion,45.35,430
Top,Akali,Kled,44.36,417
Top,Akali,Wukong,47.51,381
Top,Akali,Lucian,49.73,372
Top,Akali,Urgot,48.38,370
Top,Akali,Maokai,40.23,353
Top,Akali,Poppy,44.96,347
Top,Akali,Yasuo,47.15,316
Top,Akali,Viego,49.83,301
Top,Akali,Tryndamere,45.73,293
Top,Akali,Ryze,50.19,267
Top,Akali,Rengar,44.87,263
Top,Akali,Cho'Gath,47.9,238
Top,Akali,Warwick,48.87,221
Top,Akali,Yone,43.4,212
Top,Akali,Dr. Mundo,44.81,212
Top,Akali,Illaoi,50,210
Top,Akali,Quinn,50.52,194
Top,Akali,Kalista,48.15,189
Top,Akali,Nocturne,42.7,185
Top,Akali,Zac,52.43,185
Top,Akali,Pantheon,50,158
Top,Akali,Trundle,50.68,146
Top,Akali,Singed,49.32,146
Top,Akali,Yorick,54.23,142
Top,Akali,Heimerdinger,48.03,127
Support,Alistar,Thresh,51.02,"5,911"
Support,Alistar,Leona,49.12,"5,556"
Support,Alistar,Senna,46.64,"3,724"
Support,Alistar,Lulu,49.87,"3,461"
Support,Alistar,Blitzcrank,50.84,"3,346"
Support,Alistar,Nautilus,52.1,"3,232"
Support,Alistar,Xerath,51.13,"2,251"
Support,Alistar,Pyke,51.33,"1,884"
Support,Alistar,Lux,49.35,"1,848"
Support,Alistar,Yuumi,55.04,"1,817"
Support,Alistar,Morgana,49.13,"1,486"
Support,Alistar,Maokai,49.81,"1,351"
Support,Alistar,Galio,49.51,"1,319"
Support,Alistar,Sett,57.61,"1,229"
Support,Alistar,Rell,54.06,"1,219"
Support,Alistar,Pantheon,56.73,"1,174"
Support,Alistar,Karma,51.66,"1,057"
Support,Alistar,Swain,47.56,860
Support,Alistar,Rakan,50.41,734
Support,Alistar,Shaco,47.76,693
Support,Alistar,Soraka,51.56,675
Support,Alistar,Zyra,47.57,639
Support,Alistar,Brand,48.36,639
Support,Alistar,Zilean,47.24,633
Support,Alistar,Janna,49.59,605
Support,Alistar,Seraphine,52.01,546
Support,Alistar,Braum,52.65,528
Support,Alistar,Bard,50.65,462
Support,Alistar,Gragas,48.79,412
Support,Alistar,Vel'Koz,46.75,400
Support,Alistar,Nami,51.61,341
Support,Alistar,Shen,53.46,318
Support,Alistar,Poppy,50,272
Support,Alistar,Neeko,48.62,253
Support,Alistar,Zac,44.44,252
Support,Alistar,Taric,51.72,232
Support,Alistar,Sona,49.77,215
Support,Alistar,Veigar,48.26,201
Support,Alistar,Anivia,45.18,166
Support,Alistar,Tahm Kench,52.78,144
Jungle,Amumu,Lee Sin,50.18,"1,116"
Jungle,Amumu,Rumble,50.36,415
Jungle,Amumu,Viego,52.46,366
Jungle,Amumu,Kindred,49.32,365
Jungle,Amumu,Morgana,49.3,355
Jungle,Amumu,Elise,51.04,335
Jungle,Amumu,Diana,48.63,329
Jungle,Amumu,Nidalee,56.96,309
Jungle,Amumu,Kayn,50,296
Jungle,Amumu,Shaco,44.03,268
Jungle,Amumu,Xin Zhao,51.17,256
Jungle,Amumu,Graves,56.18,251
Jungle,Amumu,Master Yi,48.35,242
Jungle,Amumu,Nocturne,46.86,207
Jungle,Amumu,Ekko,53.85,169
Jungle,Amumu,Zac,43.48,161
Jungle,Amumu,Nunu & Willump,47.5,160
Jungle,Amumu,Kha'Zix,50.97,155
Jungle,Amumu,Rammus,57.03,128
Jungle,Amumu,Evelynn,45.3,117
Jungle,Amumu,Poppy,57.01,107
Jungle,Amumu,Volibear,42.99,107
Jungle,Amumu,Jarvan IV,49.06,106
Jungle,Amumu,Warwick,50.94,106
Jungle,Amumu,Fiddlesticks,45.74,94
Jungle,Amumu,Sejuani,43.48,92
Jungle,Amumu,Olaf,47.44,78
Jungle,Amumu,Rek'Sai,52.63,76
Jungle,Amumu,Hecarim,57.33,75
Jungle,Amumu,Udyr,53.42,73
Jungle,Amumu,Lillia,46.48,71
Jungle,Amumu,Vi,45.71,70
Jungle,Amumu,Trundle,36.51,63
Jungle,Amumu,Karthus,45.76,59
Middle,Anivia,Sylas,51.03,872
Middle,Anivia,Zed,51.56,836
Middle,Anivia,Yasuo,54.01,648
Middle,Anivia,Akali,52.89,641
Middle,Anivia,Katarina,51.28,624
Middle,Anivia,Yone,54.27,586
Middle,Anivia,Talon,48,550
Middle,Anivia,Xerath,46.58,526
Middle,Anivia,LeBlanc,52.67,505
Middle,Anivia,Viktor,49.78,464
Middle,Anivia,Twisted Fate,50.67,448
Middle,Anivia,Qiyana,49.72,360
Middle,Anivia,Irelia,54.2,345
Middle,Anivia,Vladimir,55.25,324
Middle,Anivia,Ahri,49.68,316
Middle,Anivia,Lucian,59.87,309
Middle,Anivia,Pantheon,51.97,279
Middle,Anivia,Galio,51.45,276
Middle,Anivia,Fizz,48.54,274
Middle,Anivia,Viego,51.53,262
Middle,Anivia,Zoe,54.72,254
Middle,Anivia,Orianna,51.05,237
Middle,Anivia,Lux,53.85,234
Middle,Anivia,Diana,47.57,185
Middle,Anivia,Ekko,52.07,169
Middle,Anivia,Kassadin,51.23,162
Middle,Anivia,Syndra,49.03,155
Middle,Anivia,Rumble,56,150
Middle,Anivia,Malzahar,49.32,148
Middle,Anivia,Ryze,48.41,126
Middle,Anivia,Corki,45.95,111
Middle,Anivia,Sett,45.28,106
Middle,Anivia,Cassiopeia,46.15,91
Middle,Anivia,Annie,47.73,88
Middle,Anivia,Malphite,54.22,83
Middle,Anivia,Lissandra,47.56,82
Middle,Anivia,Tristana,54.88,82
Middle,Anivia,Neeko,62.96,81
Middle,Anivia,Jayce,49.37,79
Middle,Anivia,Renekton,60.76,79
Middle,Anivia,Nocturne,55.84,77
Middle,Anivia,Gwen,52.86,70
Middle,Anivia,Azir,62.5,64
Support,Anivia,Thresh,51.97,304
Support,Anivia,Senna,46.22,251
Support,Anivia,Lulu,51.32,228
Support,Anivia,Leona,45.18,228
Support,Anivia,Lux,56.11,180
Support,Anivia,Xerath,40.48,168
Support,Anivia,Alistar,54.82,166
Support,Anivia,Nautilus,46.99,166
Support,Anivia,Blitzcrank,49.7,165
Support,Anivia,Morgana,55.65,115
Support,Anivia,Yuumi,48.6,107
Support,Anivia,Pyke,46.74,92
Support,Anivia,Maokai,41.94,62
Support,Anivia,Swain,56.45,62
Support,Anivia,Galio,48.33,60
Support,Anivia,Karma,57.89,57
Support,Anivia,Brand,57.14,56
Support,Anivia,Sett,56.36,55
Support,Anivia,Zyra,49.06,53
Support,Anivia,Soraka,45.1,51
Support,Anivia,Pantheon,48,50
Middle,Annie,Sylas,58.22,383
Middle,Annie,Yasuo,56.25,336
Middle,Annie,LeBlanc,54.01,324
Middle,Annie,Zed,51.8,305
Middle,Annie,Akali,56.39,305
Middle,Annie,Yone,58.47,301
Middle,Annie,Katarina,56.95,295
Middle,Annie,Talon,51.46,206
Middle,Annie,Xerath,49.14,175
Middle,Annie,Twisted Fate,56.63,166
Middle,Annie,Viktor,50,150
Middle,Annie,Qiyana,54.86,144
Middle,Annie,Ahri,48.59,142
Middle,Annie,Viego,46.83,126
Middle,Annie,Galio,37.5,120
Middle,Annie,Vladimir,45.28,106
Middle,Annie,Pantheon,42.86,105
Middle,Annie,Irelia,60,100
Middle,Annie,Lucian,62.89,97
Middle,Annie,Zoe,62.64,91
Middle,Annie,Fizz,48.35,91
Middle,Annie,Orianna,47.25,91
Middle,Annie,Lux,50.55,91
Middle,Annie,Anivia,52.27,88
Middle,Annie,Ekko,40.58,69
Middle,Annie,Diana,60.29,68
Middle,Annie,Rumble,45.9,61
Middle,Annie,Syndra,55.93,59
Bottom,Aphelios,Kai'Sa,48.36,"2,535"
Bottom,Aphelios,Ezreal,47.6,"2,212"
Bottom,Aphelios,Jinx,47.77,"1,662"
Bottom,Aphelios,Samira,44.11,"1,442"
Bottom,Aphelios,Jhin,45.15,908
Bottom,Aphelios,Caitlyn,44.32,792
Bottom,Aphelios,Vayne,47.14,647
Bottom,Aphelios,Tristana,43.3,612
Bottom,Aphelios,Ashe,41.97,498
Bottom,Aphelios,Varus,47.66,470
Bottom,Aphelios,Miss Fortune,45.14,370
Bottom,Aphelios,Lucian,53.59,334
Bottom,Aphelios,Sivir,43.26,319
Bottom,Aphelios,Kog'Maw,43.3,194
Bottom,Aphelios,Xayah,56.73,171
Bottom,Aphelios,Kalista,53.13,128
Bottom,Aphelios,Twitch,50,110
Bottom,Aphelios,Draven,38.89,90
Bottom,Aphelios,Senna,47.56,82
Bottom,Aphelios,Swain,44.44,72
Bottom,Aphelios,Yasuo,40.38,52
Bottom,Ashe,Ezreal,52.74,"6,479"
Bottom,Ashe,Kai'Sa,52.07,"6,077"
Bottom,Ashe,Jinx,51.39,"4,110"
Bottom,Ashe,Samira,49.79,"3,342"
Bottom,Ashe,Jhin,48.42,"3,063"
Bottom,Ashe,Caitlyn,50.9,"2,931"
Bottom,Ashe,Vayne,51.17,"1,886"
Bottom,Ashe,Tristana,51.08,"1,764"
Bottom,Ashe,Varus,51.48,"1,389"
Bottom,Ashe,Sivir,48.84,"1,163"
Bottom,Ashe,Miss Fortune,50.95,"1,050"
Bottom,Ashe,Lucian,54.59,991
