from,to,title,length,win,color,arrows,dashes,value,smooth
1,23,<p> Match Cnt : <b>316</b><br> Winning rate : <b>52.85</b></p>,1000,52.85,#8CB4F7,to,FALSE,316,FALSE
1,40,<p> Match Cnt : <b>303</b><br> Winning rate : <b>47.52</b></p>,1000,47.52,#F6807F,to,FALSE,303,FALSE
1,147,<p> Match Cnt : <b>300</b><br> Winning rate : <b>47.67</b></p>,1000,47.67,#F6807F,to,FALSE,300,FALSE
1,92,<p> Match Cnt : <b>298</b><br> Winning rate : <b>50.67</b></p>,1000,50.67,#8CB4F7,to,FALSE,298,FALSE
1,88,<p> Match Cnt : <b>298</b><br> Winning rate : <b>43.29</b></p>,1000,43.29,#F6807F,to,FALSE,298,FALSE
1,146,<p> Match Cnt : <b>295</b><br> Winning rate : <b>50.17</b></p>,1000,50.17,#8CB4F7,to,FALSE,295,FALSE
1,51,<p> Match Cnt : <b>294</b><br> Winning rate : <b>53.74</b></p>,1000,53.74,#8CB4F7,to,FALSE,294,FALSE
1,125,<p> Match Cnt : <b>278</b><br> Winning rate : <b>49.64</b></p>,1000,49.64,#F6807F,to,FALSE,278,FALSE
1,110,<p> Match Cnt : <b>251</b><br> Winning rate : <b>48.21</b></p>,1000,48.21,#F6807F,to,FALSE,251,FALSE
2,116,<p> Match Cnt : <b>1460</b><br> Winning rate : <b>50.96</b></p>,1000,50.96,#8CB4F7,to,FALSE,1460,FALSE
2,150,<p> Match Cnt : <b>1301</b><br> Winning rate : <b>50.35</b></p>,1000,50.35,#8CB4F7,to,FALSE,1301,FALSE
2,145,<p> Match Cnt : <b>1148</b><br> Winning rate : <b>48.78</b></p>,1000,48.78,#F6807F,to,FALSE,1148,FALSE
2,3,<p> Match Cnt : <b>1139</b><br> Winning rate : <b>55.75</b></p>,1000,55.75,#8CB4F7,to,FALSE,1139,FALSE
2,63,<p> Match Cnt : <b>1085</b><br> Winning rate : <b>51.43</b></p>,1000,51.43,#8CB4F7,to,FALSE,1085,FALSE
2,55,<p> Match Cnt : <b>970</b><br> Winning rate : <b>47.53</b></p>,1000,47.53,#F6807F,to,FALSE,970,FALSE
2,120,<p> Match Cnt : <b>898</b><br> Winning rate : <b>51.22</b></p>,1000,51.22,#8CB4F7,to,FALSE,898,FALSE
2,146,<p> Match Cnt : <b>883</b><br> Winning rate : <b>51.42</b></p>,1000,51.42,#8CB4F7,to,FALSE,883,FALSE
2,143,<p> Match Cnt : <b>693</b><br> Winning rate : <b>47.04</b></p>,1000,47.04,#F6807F,to,FALSE,693,FALSE
2,127,<p> Match Cnt : <b>624</b><br> Winning rate : <b>51.76</b></p>,1000,51.76,#8CB4F7,to,FALSE,624,FALSE
2,91,<p> Match Cnt : <b>544</b><br> Winning rate : <b>52.21</b></p>,1000,52.21,#8CB4F7,to,FALSE,544,FALSE
2,137,<p> Match Cnt : <b>525</b><br> Winning rate : <b>50.86</b></p>,1000,50.86,#8CB4F7,to,FALSE,525,FALSE
2,68,<p> Match Cnt : <b>511</b><br> Winning rate : <b>55.77</b></p>,1000,55.77,#8CB4F7,to,FALSE,511,FALSE
2,32,<p> Match Cnt : <b>489</b><br> Winning rate : <b>46.01</b></p>,1000,46.01,#F6807F,to,FALSE,489,FALSE
2,136,<p> Match Cnt : <b>485</b><br> Winning rate : <b>52.37</b></p>,1000,52.37,#8CB4F7,to,FALSE,485,FALSE
2,138,<p> Match Cnt : <b>467</b><br> Winning rate : <b>53.53</b></p>,1000,53.53,#8CB4F7,to,FALSE,467,FALSE
2,88,<p> Match Cnt : <b>453</b><br> Winning rate : <b>52.1</b></p>,1000,52.1,#8CB4F7,to,FALSE,453,FALSE
2,42,<p> Match Cnt : <b>439</b><br> Winning rate : <b>53.08</b></p>,1000,53.08,#8CB4F7,to,FALSE,439,FALSE
2,31,<p> Match Cnt : <b>432</b><br> Winning rate : <b>48.61</b></p>,1000,48.61,#F6807F,to,FALSE,432,FALSE
2,152,<p> Match Cnt : <b>372</b><br> Winning rate : <b>53.49</b></p>,1000,53.49,#8CB4F7,to,FALSE,372,FALSE
2,70,<p> Match Cnt : <b>360</b><br> Winning rate : <b>50</b></p>,1000,50,#C4F2C2,to,FALSE,360,FALSE
2,86,<p> Match Cnt : <b>327</b><br> Winning rate : <b>54.74</b></p>,1000,54.74,#8CB4F7,to,FALSE,327,FALSE
2,6,<p> Match Cnt : <b>316</b><br> Winning rate : <b>50.32</b></p>,1000,50.32,#8CB4F7,to,FALSE,316,FALSE
2,25,<p> Match Cnt : <b>289</b><br> Winning rate : <b>44.98</b></p>,1000,44.98,#F6807F,to,FALSE,289,FALSE
2,22,<p> Match Cnt : <b>280</b><br> Winning rate : <b>51.07</b></p>,1000,51.07,#8CB4F7,to,FALSE,280,FALSE
2,100,<p> Match Cnt : <b>252</b><br> Winning rate : <b>53.97</b></p>,1000,53.97,#8CB4F7,to,FALSE,252,FALSE
2,54,<p> Match Cnt : <b>233</b><br> Winning rate : <b>53.22</b></p>,1000,53.22,#8CB4F7,to,FALSE,233,FALSE
2,117,<p> Match Cnt : <b>222</b><br> Winning rate : <b>50.9</b></p>,1000,50.9,#8CB4F7,to,FALSE,222,FALSE
2,72,<p> Match Cnt : <b>197</b><br> Winning rate : <b>46.7</b></p>,1000,46.7,#F6807F,to,FALSE,197,FALSE
2,101,<p> Match Cnt : <b>170</b><br> Winning rate : <b>62.35</b></p>,1000,62.35,#8CB4F7,to,FALSE,170,FALSE
2,83,<p> Match Cnt : <b>145</b><br> Winning rate : <b>48.28</b></p>,1000,48.28,#F6807F,to,FALSE,145,FALSE
2,71,<p> Match Cnt : <b>145</b><br> Winning rate : <b>52.41</b></p>,1000,52.41,#8CB4F7,to,FALSE,145,FALSE
2,7,<p> Match Cnt : <b>142</b><br> Winning rate : <b>51.41</b></p>,1000,51.41,#8CB4F7,to,FALSE,142,FALSE
2,67,<p> Match Cnt : <b>141</b><br> Winning rate : <b>43.26</b></p>,1000,43.26,#F6807F,to,FALSE,141,FALSE
2,20,<p> Match Cnt : <b>140</b><br> Winning rate : <b>44.29</b></p>,1000,44.29,#F6807F,to,FALSE,140,FALSE
2,47,<p> Match Cnt : <b>131</b><br> Winning rate : <b>51.15</b></p>,1000,51.15,#8CB4F7,to,FALSE,131,FALSE
2,124,<p> Match Cnt : <b>120</b><br> Winning rate : <b>52.5</b></p>,1000,52.5,#8CB4F7,to,FALSE,120,FALSE
2,106,<p> Match Cnt : <b>116</b><br> Winning rate : <b>50</b></p>,1000,50,#C4F2C2,to,FALSE,116,FALSE
2,38,<p> Match Cnt : <b>113</b><br> Winning rate : <b>57.52</b></p>,1000,57.52,#8CB4F7,to,FALSE,113,FALSE
2,81,<p> Match Cnt : <b>112</b><br> Winning rate : <b>42.86</b></p>,1000,42.86,#F6807F,to,FALSE,112,FALSE
2,18,<p> Match Cnt : <b>104</b><br> Winning rate : <b>59.62</b></p>,1000,59.62,#8CB4F7,to,FALSE,104,FALSE
2,97,<p> Match Cnt : <b>104</b><br> Winning rate : <b>51.92</b></p>,1000,51.92,#8CB4F7,to,FALSE,104,FALSE
2,11,<p> Match Cnt : <b>82</b><br> Winning rate : <b>53.66</b></p>,1000,53.66,#8CB4F7,to,FALSE,82,FALSE
2,34,<p> Match Cnt : <b>63</b><br> Winning rate : <b>52.38</b></p>,1000,52.38,#8CB4F7,to,FALSE,63,FALSE
2,84,<p> Match Cnt : <b>63</b><br> Winning rate : <b>60.32</b></p>,1000,60.32,#8CB4F7,to,FALSE,63,FALSE
2,10,<p> Match Cnt : <b>62</b><br> Winning rate : <b>51.61</b></p>,1000,51.61,#8CB4F7,to,FALSE,62,FALSE
2,61,<p> Match Cnt : <b>56</b><br> Winning rate : <b>39.29</b></p>,1000,39.29,#F6807F,to,FALSE,56,FALSE
2,149,<p> Match Cnt : <b>51</b><br> Winning rate : <b>50.98</b></p>,1000,50.98,#8CB4F7,to,FALSE,51,FALSE
2,19,<p> Match Cnt : <b>50</b><br> Winning rate : <b>46</b></p>,1000,46,#F6807F,to,FALSE,50,FALSE
3,116,<p> Match Cnt : <b>4987</b><br> Winning rate : <b>48.59</b></p>,1000,48.59,#F6807F,to,FALSE,4987,FALSE
3,150,<p> Match Cnt : <b>3477</b><br> Winning rate : <b>47.91</b></p>,1000,47.91,#F6807F,to,FALSE,3477,FALSE
3,145,<p> Match Cnt : <b>3071</b><br> Winning rate : <b>47.38</b></p>,1000,47.38,#F6807F,to,FALSE,3071,FALSE
3,146,<p> Match Cnt : <b>2647</b><br> Winning rate : <b>48.36</b></p>,1000,48.36,#F6807F,to,FALSE,2647,FALSE
3,63,<p> Match Cnt : <b>2565</b><br> Winning rate : <b>48.46</b></p>,1000,48.46,#F6807F,to,FALSE,2565,FALSE
3,55,<p> Match Cnt : <b>2481</b><br> Winning rate : <b>49.21</b></p>,1000,49.21,#F6807F,to,FALSE,2481,FALSE
3,120,<p> Match Cnt : <b>2422</b><br> Winning rate : <b>46.9</b></p>,1000,46.9,#F6807F,to,FALSE,2422,FALSE
3,127,<p> Match Cnt : <b>1729</b><br> Winning rate : <b>45.69</b></p>,1000,45.69,#F6807F,to,FALSE,1729,FALSE
3,136,<p> Match Cnt : <b>1487</b><br> Winning rate : <b>48.89</b></p>,1000,48.89,#F6807F,to,FALSE,1487,FALSE
