id,shape,size,title,value,label,group,color,shadow
23,square,7070,<p>Line : <b>T</b><br>Match Cnt : <b>7070</b><br>Tier : <b>5</b></p>,707000,Dr. Mundo,T,#BEAED4,FALSE
75,triangle,75480,<p>Line : <b>A</b><br>Match Cnt : <b>75480</b><br>Tier : <b>4</b></p>,7548000,Miss Fortune,A,#FDC086,FALSE
12,circle,2248,<p>Line : <b>S</b><br>Match Cnt : <b>2248</b><br>Tier : <b>3</b></p>,224800,Bard,S,#FCCDE5,FALSE
131,circle,10360,<p>Line : <b>A</b><br>Match Cnt : <b>10360</b><br>Tier : <b>3</b></p>,1036000,Varus,A,#FDC086,FALSE
135,square,12148,<p>Line : <b>J</b><br>Match Cnt : <b>12148</b><br>Tier : <b>5</b></p>,1214800,Vi,J,#FFFFCC,FALSE
133,square,26307,<p>Line : <b>MS</b><br>Match Cnt : <b>26307</b><br>Tier : <b>5</b></p>,2630700,Veigar,MS,#8DA0CB,FALSE
132,triangle,50678,<p>Line : <b>TA</b><br>Match Cnt : <b>50678</b><br>Tier : <b>4</b></p>,5067800,Vayne,TA,#F0027F,FALSE
134,square,71464,<p>Line : <b>S</b><br>Match Cnt : <b>71464</b><br>Tier : <b>5</b></p>,7146400,Vel'Koz,S,#FCCDE5,FALSE
139,triangle,102220,<p>Line : <b>TJ</b><br>Match Cnt : <b>102220</b><br>Tier : <b>4</b></p>,10222000,Volibear,TJ,#CBD5E8,FALSE
15,square,153554,<p>Line : <b>S</b><br>Match Cnt : <b>153554</b><br>Tier : <b>5</b></p>,15355400,Braum,S,#FCCDE5,FALSE
14,square,14259,<p>Line : <b>S</b><br>Match Cnt : <b>14259</b><br>Tier : <b>5</b></p>,1425900,Brand,S,#FCCDE5,FALSE
138,triangle,23002,<p>Line : <b>TM</b><br>Match Cnt : <b>23002</b><br>Tier : <b>4</b></p>,2300200,Vladimir,TM,#E41A1C,FALSE
13,diamond,8852,<p>Line : <b>S</b><br>Match Cnt : <b>8852</b><br>Tier : <b>2</b></p>,885200,Blitzcrank,S,#FCCDE5,FALSE
136,square,8925,<p>Line : <b>TJM</b><br>Match Cnt : <b>8925</b><br>Tier : <b>5</b></p>,892500,Viego,TJM,#666666,FALSE
